#gene	pmid_counts
6175	141
6335	141
6338	141
7272	141
7516	141
8408	141
8767	141
9782	141
9972	141
1129	140
1285	140
2693	140
3024	140
3726	140
4016	140
4646	140
54209	140
55737	140
56606	140
5682	140
5997	140
6439	140
6470	140
80332	140
8434	140
8717	140
9846	140
1364	139
1583	139
290	139
3578	139
362	139
5350	139
5693	139
57805	139
6383	139
6789	139
7296	139
7317	139
8291	139
8398	139
902	139
9619	139
10395	138
10452	138
2176	138
3359	138
3785	138
3806	138
406933	138
407024	138
4868	138
51196	138
6045	138
6599	138
7049	138
7283	138
839	138
9126	138
990	138
10576	137
10728	137
126961	137
1311	137
2627	137
3587	137
5094	137
5520	137
5704	137
6428	137
7033	137
706	137
8370	137
8450	137
8976	137
8989	137
977	137
9966	137
10298	136
1488	136
2277	136
2532	136
3672	136
3805	136
3916	136
4036	136
406958	136
406971	136
4487	136
4670	136
57167	136
5905	136
6135	136
7827	136
8338	136
9049	136
10365	135
239	135
3030	135
3693	135
3938	135
5074	135
5700	135
5732	135
57447	135
574501	135
5873	135
6361	135
728	135
931	135
994	135
1605	134
1948	134
2050	134
2524	134
27040	134
2739	134
3918	134
5424	134
55384	134
8900	134
90	134
925	134
10383	133
109461477	133
1525	133
1667	133
1874	133
2053	133
23643	133
27122	133
2798	133
28234	133
3783	133
3842	133
406948	133
4173	133
4688	133
4751	133
52	133
57650	133
10211	132
116	132
2348	132
253260	132
388	132
50848	132
5479	132
5683	132
6310	132
6319	132
7030	132
843	132
8655	132
871	132
8771	132
10456	131
1380	131
171023	131
2170	131
2205	131
2303	131
267012	131
291	131
3045	131
3848	131
4175	131
5436	131
5583	131
5933	131
654	131
6625	131
6708	131
10492	130
1973	130
2168	130
2741	130
2773	130
30011	130
3959	130
406976	130
406995	130
407004	130
5244	130
55894	130
5716	130
5896	130
6590	130
7051	130
7203	130
7307	130
8379	130
8493	130
8650	130
8863	130
93986	130
1058	129
10859	129
2550	129
2554	129
4638	129
5698	129
6103	129
6580	129
6583	129
699	129
7066	129
8085	129
8647	129
10935	128
1143	128
114609	128
148022	128
1511	128
210	128
2208	128
27178	128
3170	128
3490	128
3635	128
3809	128
3984	128
4218	128
51366	128
5336	128
5360	128
5660	128
5730	128
6497	128
6628	128
7292	128
79054	128
9423	128
10461	127
107126361	127
1601	127
1630	127
26121	127
3799	127
3843	127
4068	127
4502	127
477	127
5087	127
5187	127
53335	127
6098	127
6559	127
6770	127
6839	127
6948	127
9219	127
9378	127
9734	127
10097	126
10189	126
10454	126
10801	126
160	126
215	126
2288	126
29979	126
3015	126
3073	126
4174	126
4739	126
5366	126
5697	126
5999	126
6612	126
7343	126
7498	126
8301	126
859	126
9961	126
10131	125
151	125
23020	125
2875	125
2965	125
4005	125
406893	125
4647	125
4985	125
5608	125
5685	125
5686	125
6749	125
7178	125
7980	125
885	125
8929	125
9217	125
1453	124
1856	124
1984	124
2035	124
2796	124
3134	124
3306	124
3561	124
3704	124
406989	124
5047	124
54567	124
6329	124
633	124
79444	124
79727	124
8106	124
8204	124
8313	124
8529	124
8932	124
10318	123
10951	123
1441	123
2091	123
2571	123
4069	123
56852	123
5689	123
5706	123
57591	123
5962	123
6711	123
6886	123
930	123
9582	123
10048	122
10551	122
10694	122
11073	122
11331	122
134	122
1390	122
1829	122
2189	122
2318	122
2358	122
255239	122
3394	122
3492	122
3735	122
4659	122
5426	122
5433	122
5435	122
56288	122
5709	122
5893	122
6091	122
6277	122
79648	122
825	122
865	122
887	122
8874	122
9113	122
148	121
163	121
1889	121
2720	121
2890	121
292	121
368	121
3840	121
4090	121
410	121
4256	121
5439	121
5629	121
563	121
5886	121
6374	121
6386	121
6844	121
7159	121
7182	121
8061	121
9388	121
10096	120
10575	120
110806307	120
1118	120
1734	120
23636	120
267	120
27339	120
2911	120
344	120
3604	120
4437	120
5029	120
5441	120
5898	120
6009	120
64750	120
6608	120
6910	120
8000	120
8295	120
10672	119
1180	119
1581	119
2114	119
26354	119
26524	119
2767	119
29127	119
3109	119
3608	119
3762	119
406903	119
5160	119
54578	119
5609	119
5880	119
5885	119
6768	119
7222	119
11004	118
11197	118
2191	118
22861	118
2962	118
3060	118
3145	118
3636	118
3945	118
6281	118
6317	118
6362	118
6389	118
6732	118
84447	118
8467	118
1024	117
10468	117
10747	117
1141	117
3727	117
3741	117
3816	117
5600	117
6037	117
6340	117
6495	117
7919	117
8764	117
88	117
953	117
10848	116
1215	116
145264	116
23291	116
27044	116
2729	116
2821	116
2891	116
406904	116
4481	116
4535	116
4925	116
51083	116
5318	116
5440	116
6189	116
9255	116
939	116
9970	116
1128	115
140885	115
